"cause","effect"
"A1CF","SYNCRIP"
"A2M","CTSB"
"AANAT","YWHAZ"
"AASDHPPT","MDFI"
"ABCA1","CSNK2A1"
"ABCA1","LMO7"
"ABCA1","RAPGEF6"
"ABCA1","RIMS2"
"ABCA1","TIAM1"
"ABCF3","HIRIP3"
"ABI1","ABL1"
"ABI1","EPS8"
"ABI1","EPS8L1"
"ABI1","MINK1"
"ABI1","NCK2"
"ABI1","NIN"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI1","SOS2"
"ABI1","WASF1"
"ABI2","PCM1"
"ABL1","ABI2"
"ABL1","ATM"
"ABL1","CDK5"
"ABL1","CRK"
"ABL1","GPX1"
"ABL1","MAP4K5"
"ABL1","PAK2"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PTPN12"
"ABL1","RB1"
"ABL1","RIN1"
"ABL1","SFN"
"ABL1","SORBS1"
"ABL1","SORBS2"
"ABL1","SOS2"
"ABL1","YTHDC1"
"ABL1","YWHAG"
"ABL2","ABL1"
"ABL2","CRK"
"ABL2","SORBS2"
"ABLIM1","HOOK2"
"ABLIM1","USHBP1"
"ABLIM1","YWHAG"
"ACAP1","IFFO1"
"ACD","USP7"
"ACIN1","KLHL26"
"ACP1","CTNNB1"
"ACP1","MRPL20"
"ACP5","MAPK9"
"ACTA1","CNN1"
"ACTA1","CORO2B"
"ACTA1","MYLK"
"ACTA1","USP6NL"
"ACTA2","CCT4"
"ACTA2","CCT5"
"ACTB","CCT2"
"ACTB","CFL1"
"ACTB","EMD"
"ACTB","FHL3"
"ACTB","LMNA"
"ACTB","NEBL"
"ACTB","TNNI2"
"ACTB","TPM1"
"ACTB","TPM2"
"ACTC1","ACTB"
"ACTC1","FSCN1"
"ACTG1","ACTB"
"ACTG1","CFL1"
"ACTG1","VASP"
"ACTG1","VCL"
"ACTL6A","POLR2A"
"ACTL6A","TRRAP"
"ACTN1","LPP"
"ACTN1","PDLIM5"
"ACTN1","SSX2IP"
"ACTN1","ZYX"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR2","ACTR3"
"ACTR2","ARPC4"
"ACTR2","ARPC5"
"ACTR2","IQGAP2"
"ACTR2","WASF2"
"ACTR3","CDC42"
"ACTR3","WASF3"
"ACVR1","CHN1"
"ACVR1","FBXO30"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RAB3B"
"ACVR1","RAP2A"
"ACVR1","RHOJ"
"ACVR1","RPS27A"
"ACVR1","RRAS2"
"ACVR1","SOCS6"
"ACVR1","UBA52"
"ACVR1","WDR61"
"ACVR1B","ACVR1"
"ACVR1B","INHBC"
"ACVR1B","TGFBRAP1"
"ACVR2B","ACVR1B"
"ACVR2B","GDF5"
"ACVR2B","INHBB"
"ACVR2B","SNX1"
"ACVR2B","SNX6"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","TGFB1"
"ACVRL1","TGFBR2"
"ACVRL1","TGFBRAP1"
"ACVRL1","XIAP"
"ADAM10","SH3D19"
"ADAM10","TGFA"
"ADAM17","MAD2L1"
"ADAM17","NOTCH1"
"ADAM17","PTPN3"
"ADAM17","SH3D19"
"ADAM17","TGFA"
"ADAM19","NRG1"
"ADAM19","TNFSF11"
"ADAM9","MAD2L2"
"ADAM9","SH3D19"
"ADAM9","SH3GLB1"
"ADAMTS1","A2M"
"ADAMTS4","FN1"
"ADCYAP1","CASP2"
"ADIPOR1","APPL1"
"ADM","MME"
"ADORA1","ADA"
"ADORA2A","ADA"
"ADORA2B","SLC9A3R2"
"ADRA1A","ADRA1B"
"ADRA2A","GNAI2"
"ADRA2B","GNAI2"
"ADRB1","GRB2"
"ADRB2","GRK5"
"ADRBK1","MAPK3"
"ADRBK1","PDE6G"
"ADRBK2","CXCR4"
"AES","GTF2E1"
"AFAP1","PRKCE"
"AFF1","MLLT1"
"AFF1","MLLT3"
"AFF4","CCNT1"
"AFF4","MLLT1"
"AFTPH","UBE3A"
"AGAP1","SMN1"
"AGFG1","EPS15"
"AGFG1","XPO1"
"AGGF1","CCDC85B"
"AGT","PRG2"
"AHNAK","CDKN2A"
"AHR","ARNT"
"AHR","ARNTL"
"AHR","CCNT1"
"AHR","EP300"
"AHR","NCOA1"
"AHR","NCOA2"
"AHR","NR2F1"
"AHR","RB1"
"AHR","TAF4"
"AIF1","LCP1"
"AIFM1","WWC1"
"AIP","TOMM20"
"AKAP1","PRKAR2A"
"AKAP1","PRKAR2B"
"AKAP10","P4HB"
"AKAP10","PRKAR1A"
"AKAP10","PRKAR2A"
"AKAP11","GSK3B"
"AKAP12","FHL1"
"AKAP12","PRKAR2A"
"AKAP13","PRKAR2A"
"AKAP13","YWHAB"
"AKAP13","YWHAG"
"AKAP13","YWHAZ"
"AKAP2","PRKAR2B"
"AKAP5","CALM1"
"AKAP5","IQGAP1"
"AKAP5","KCNJ2"
"AKAP5","PPP3CA"
"AKAP5","PRKAR2A"
"AKAP5","PRKAR2B"
"AKAP8","AES"
"AKAP8L","DHX9"
"AKAP8L","KPNB1"
"AKAP8L","LBR"
"AKAP8L","PRPF40A"
"AKAP9","PPP2R3A"
"AKAP9","TACC3"
"AKAP9","TRIP10"
"AKT1","BAD"
"AKT1","CASP9"
"AKT1","CHEK1"
"AKT1","DCTN1"
"AKT1","MAP3K11"
"AKT1","PRKDC"
"AKT1S1","TCEA2"
"AKT1S1","YWHAG"
"AKT2","AKT1S1"
"AKT2","TSC2"
"AKT3","PDPK1"
"ALDOA","XRN1"
"ALG13","ATXN1L"
"ALOX12","LMNA"
"ALOX12B","LMNA"
"ALS2CR11","CCDC85B"
"ALS2CR11","SSSCA1"
"AMBP","FN1"
"AMHR2","TGFBR1"
"AMOTL2","MAGOHB"
"AMPH","AP2A2"
"AMPH","CDK5"
"AMPH","CDK5R1"
"AMPH","DNM1"
"AMPH","MAPK6"
"AMPH","SH3GLB1"
"AMPH","SYN1"
"ANAPC10","CDC27"
"ANAPC7","AKAP1"
"ANGPT1","ANGPT2"
"ANGPT2","ANXA7"
"ANGPT2","CSNK2B"
"ANGPTL1","TEK"
"ANK1","TIAM1"
"ANK2","SPTBN1"
"ANK3","HOOK1"
"ANKRA2","HDAC4"
"ANKRD11","HDAC4"
"ANKS1A","YWHAG"
"ANKZF1","AURKB"
"ANXA1","CCT7"
"ANXA1","COPS6"
"ANXA1","FAF1"
"ANXA1","XRCC6"
"ANXA11","S100A6"
"ANXA2","CD99"
"ANXA2","LGALS13"
"ANXA2","PLAT"
"ANXA2","S100A10"
"ANXA7","CDK4"
"ANXA7","COPS6"
"ANXA7","CPNE2"
"ANXA7","MSH2"
"ANXA7","OTUB1"
"ANXA7","RBBP4"
"ANXA7","RPL13"
"ANXA7","UBE2D1"
"ANXA7","USP4"
"AP1G1","AFTPH"
"AP1G1","RABGEF1"
"AP1G1","SYP"
"AP1G2","XRN1"
"AP1M1","DVL2"
"AP1M1","GAK"
"AP1M2","AP1M1"
"AP1M2","GAK"
"AP1S2","AP1G2"
"AP2A1","EPN1"
"AP2B1","AP2A2"
"AP2B1","ATM"
"AP2B1","HIP1"
"AP2B1","NUP54"
"AP2B1","POM121"
"AP2B1","TUBGCP4"
"AP2M1","RTDR1"
