"cause","effect"
"A1BG","ANXA7"
"A1BG","TK1"
"A2M","ATF7IP"
"A2M","CDK2AP2"
"A2M","CDKN1A"
"A2M","CTSB"
"A2M","CTSE"
"A2M","H2AFX"
"A2M","HMOX2"
"A2M","KLK2"
"A2M","MYOC"
"A2M","NUDT21"
"A2M","PDGFB"
"A2M","RAP1B"
"A2M","SEPT8"
"A2M","TGFBI"
"A2M","TK1"
"AAMP","MAP1LC3B"
"AASDHPPT","MDFI"
"AATF","RB1"
"ABCA1","CSNK2A1"
"ABCA1","FADD"
"ABCA1","LMO7"
"ABCA1","MPP6"
"ABCA1","RAPGEF6"
"ABCA1","TIAM1"
"ABCB1","HAX1"
"ABCC2","RDX"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABI1","ABL1"
"ABI1","EPS8"
"ABI1","EPS8L1"
"ABI1","HSPA8"
"ABI1","NCK2"
"ABI1","NIN"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI1","SOS2"
"ABI1","SPTAN1"
"ABI1","WASF1"
"ABI2","PCM1"
"ABI3","KIAA0408"
"ABL1","ABI2"
"ABL1","ATM"
"ABL1","BCR"
"ABL1","CAV1"
"ABL1","CDK5"
"ABL1","CRK"
"ABL1","CTNND2"
"ABL1","GPX1"
"ABL1","MAP4K5"
"ABL1","MAPT"
"ABL1","NEDD9"
"ABL1","PAK2"
"ABL1","PLSCR1"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PRKDC"
"ABL1","PTPN12"
"ABL1","RAD52"
"ABL1","RAN"
"ABL1","RB1"
"ABL1","SFN"
"ABL1","SORBS1"
"ABL1","SOS2"
"ABL1","ST5"
"ABL1","WASF1"
"ABL1","XRCC6"
"ABL1","YTHDC1"
"ABL1","YWHAE"
"ABL1","YWHAG"
"ABL2","ABL1"
"ABL2","CRK"
"ABL2","SORBS2"
"ABLIM1","CALCOCO2"
"ABLIM1","HOOK2"
"ABLIM1","LDOC1"
"ABR","PIP5K1C"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACACA","CSNK2A2"
"ACAP1","IFFO1"
"ACD","USP7"
"ACIN1","ABCF3"
"ACIN1","KLHL26"
"ACIN1","YWHAG"
"ACP1","FYN"
"ACP1","MRPL20"
"ACP1","SPTAN1"
"ACP6","GNG7"
"ACTA1","AFAP1"
"ACTA1","CFL1"
"ACTA1","CNN1"
"ACTA1","DNASE1"
"ACTA1","FSCN1"
"ACTA1","GAS7"
"ACTA1","GSN"
"ACTA1","LASP1"
"ACTA1","MYLK"
"ACTA1","PAK1"
"ACTA1","PFN1"
"ACTA1","PRKCD"
"ACTA1","S100A4"
"ACTA1","TPM3"
"ACTA1","VCL"
"ACTA1","VIL1"
"ACTB","CCT4"
"ACTB","CDK5R2"
"ACTB","CDKN1A"
"ACTB","CFL1"
"ACTB","CORO1A"
"ACTB","CPNE1"
"ACTB","CPNE2"
"ACTB","CPNE4"
"ACTB","FHL3"
"ACTB","H2AFX"
"ACTB","HNRNPAB"
"ACTB","LASP1"
"ACTB","LMNA"
"ACTB","MYO18B"
"ACTB","NEBL"
"ACTB","PDLIM5"
"ACTB","PFDN1"
"ACTB","POLR2A"
"ACTB","TNNI2"
