"cause","effect"
"A1BG","ANXA7"
"A2M","ATF7IP"
"A2M","CDK2AP2"
"A2M","H2AFX"
"A2M","HMOX2"
"A2M","KLK2"
"A2M","KLK3"
"A2M","NUDT21"
"A2M","RAP1B"
"A2M","RPP14"
"A2M","TK1"
"A2M","UFD1L"
"AAMP","MAP1LC3B"
"AATF","LDOC1"
"AATF","RB1"
"ABCA1","CSNK2A1"
"ABCA1","FADD"
"ABCA1","LMO7"
"ABCA1","MPP6"
"ABCA1","PDLIM4"
"ABCA1","RAPGEF6"
"ABCA1","TIAM1"
"ABCB1","HAX1"
"ABCC2","RDX"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABI1","ABL1"
"ABI1","CYFIP2"
"ABI1","EPS8"
"ABI1","EPS8L1"
"ABI1","NCK2"
"ABI1","NIN"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI1","SOS2"
"ABI1","WASF1"
"ABI2","PCM1"
"ABL1","ABI2"
"ABL1","ATM"
"ABL1","BCR"
"ABL1","CAV1"
"ABL1","CDK5"
"ABL1","CRK"
"ABL1","DDB1"
"ABL1","GPX1"
"ABL1","MAP4K5"
"ABL1","NEDD9"
"ABL1","PAK2"
"ABL1","PLSCR1"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PRKDC"
"ABL1","PSTPIP1"
"ABL1","PTPN12"
"ABL1","RAD9A"
"ABL1","RB1"
"ABL1","SFN"
"ABL1","SORBS1"
"ABL1","SORBS2"
"ABL1","SOS2"
"ABL1","ST5"
"ABL1","WASF1"
"ABL1","XRCC6"
"ABL1","YTHDC1"
"ABL1","YWHAG"
"ABL2","ABL1"
"ABL2","CRK"
"ABLIM1","HOOK2"
"ABLIM1","LDOC1"
"ABR","PIP5K1C"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACAN","FBLN1"
"ACAN","FBLN2"
"ACAP1","IFFO1"
"ACD","USP7"
"ACE","COMT"
"ACIN1","KLHL26"
"ACP1","FABP4"
"ACP5","MAPK9"
"ACP5","PPP2CB"
"ACTA2","CCT5"
"ACTB","CFL1"
"ACTB","CORO1A"
"ACTB","CPNE2"
"ACTB","EMD"
"ACTB","FHL3"
"ACTB","H2AFX"
"ACTB","HNRNPAB"
"ACTB","LMNA"
"ACTB","NEBL"
"ACTB","PDLIM5"
"ACTB","PFDN1"
"ACTB","POLR2A"
"ACTB","TPM2"
"ACTC1","SCIN"
"ACTG1","ABLIM1"
"ACTG1","ACTB"
"ACTG1","ATF7IP"
"ACTG1","CFL1"
"ACTG1","CFL2"
"ACTG1","DYNLL1"
"ACTG1","FHOD1"
"ACTG1","LSP1"
"ACTG1","MAPK6"
"ACTG1","PDPK1"
"ACTG1","PIP4K2C"
"ACTG1","PLD1"
"ACTG1","PPP1R9A"
"ACTG1","RPS6KA5"
"ACTG1","VASP"
"ACTL6A","POLR2A"
"ACTL6A","TRRAP"
"ACTN1","CDK5"
"ACTN1","CSRP1"
"ACTN1","FBP1"
"ACTN1","LPP"
"ACTN1","MED14"
"ACTN1","PDLIM5"
"ACTN1","PKN1"
"ACTN1","SSX2IP"
"ACTN1","ZYX"
"ACTN4","ACTN3"
"ACTN4","CAMK2A"
"ACTN4","CAMK2B"
"ACTN4","MAGI1"
"ACTN4","SACS"
"ACTN4","TRIM3"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR2","ACTR3"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","IQGAP2"
"ACTR2","WASF2"
"ACTR3","CDC42"
"ACTR3","WASF3"
"ACVR1","AP2B1"
"ACVR1","CHN1"
"ACVR1","DUSP13"
"ACVR1","FBXO30"
"ACVR1","FCHO1"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","NRAS"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RAB3B"
"ACVR1","RAP2A"
"ACVR1","RHEBL1"
