"cause","effect"
"A1BG","ANXA7"
"A2M","ANXA6"
"A2M","ATF7IP"
"A2M","CDK2AP2"
"A2M","CDKN1A"
"A2M","CTSB"
"A2M","H2AFX"
"A2M","HMOX2"
"A2M","KLK2"
"A2M","KLK3"
"A2M","MYOC"
"A2M","PDGFB"
"A2M","RAP1B"
"A2M","SEPT8"
"A2M","SMN1"
"A2M","TGFBI"
"A2M","TK1"
"A2M","UFD1L"
"AAMP","MAP1LC3B"
"AASDHPPT","MDFI"
"AATF","LDOC1"
"AATF","RB1"
"ABCA1","CSNK2A1"
"ABCA1","FADD"
"ABCA1","LMO7"
"ABCA1","MPP6"
"ABCA1","RAPGEF6"
"ABCA1","TIAM1"
"ABCB1","HAX1"
"ABCC2","RDX"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABI1","EPS8"
"ABI1","EPS8L1"
"ABI1","HSPA8"
"ABI1","NCK2"
"ABI1","NIN"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI1","SOS2"
"ABI1","WASF1"
"ABI2","PCM1"
"ABI3","KIAA0408"
"ABI3","KRT15"
"ABL1","ABI2"
"ABL1","APBB1"
"ABL1","ATM"
"ABL1","BCAR1"
"ABL1","BCR"
"ABL1","CASP9"
"ABL1","CAV1"
"ABL1","CDK5"
"ABL1","CRK"
"ABL1","CTNND2"
"ABL1","GPX1"
"ABL1","MAP4K5"
"ABL1","MAPT"
"ABL1","NEDD9"
"ABL1","PAK2"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PRKDC"
"ABL1","PTPN12"
"ABL1","RAD51"
"ABL1","RAD9A"
"ABL1","RAN"
"ABL1","RB1"
"ABL1","SFN"
"ABL1","SORBS1"
"ABL1","SOS2"
"ABL1","ST5"
"ABL1","TERT"
"ABL1","XRCC6"
"ABL1","YTHDC1"
"ABL1","YWHAE"
"ABL1","YWHAZ"
"ABL2","ABL1"
"ABL2","CRK"
"ABL2","SORBS2"
"ABLIM1","KRT15"
"ABLIM1","LDOC1"
"ABLIM1","VIM"
"ABR","PIP5K1C"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACAN","FBLN1"
"ACAN","FBLN2"
"ACAP1","IFFO1"
"ACD","USP7"
"ACHE","LAMB1"
"ACIN1","ABCF3"
"ACIN1","KLHL26"
"ACIN1","YWHAG"
"ACP1","CTNNB1"
"ACP1","FABP4"
"ACP1","FYN"
"ACP1","INSR"
"ACP1","LCK"
"ACP1","MRPL20"
"ACP1","SPTAN1"
"ACP6","GNG7"
"ACTA1","ABL1"
"ACTA1","AFAP1"
"ACTA1","CFL1"
"ACTA1","CNN1"
"ACTA1","CORO2B"
"ACTA1","CYFIP1"
"ACTA1","DNASE1"
"ACTA1","FSCN1"
"ACTA1","GAS7"
"ACTA1","LASP1"
"ACTA1","MYLK"
"ACTA1","PAK1"
"ACTA1","PARVA"
"ACTA1","PFN1"
"ACTA1","PRKCA"
"ACTA1","S100A4"
"ACTA1","SORBS1"
"ACTA1","TNNI1"
"ACTA1","TPM3"
"ACTA1","VASP"
"ACTA1","VCL"
"ACTA2","CCT4"
"ACTA2","CCT5"
"ACTB","ANXA7"
"ACTB","BCL2L1"
"ACTB","CCT2"
"ACTB","CDK5R2"
"ACTB","CFL1"
"ACTB","CORO1A"
"ACTB","CPNE1"
"ACTB","CPNE2"
"ACTB","CSNK1A1"
"ACTB","EMD"
"ACTB","FHL3"
"ACTB","H2AFX"
"ACTB","HNRNPAB"
"ACTB","HNRNPU"
"ACTB","LASP1"
"ACTB","LMNA"
"ACTB","MYO18B"
"ACTB","NEBL"
"ACTB","PDLIM5"
"ACTB","POLR2A"
"ACTB","RCC1"
"ACTB","TK1"
"ACTB","TNNI2"
"ACTB","TPM1"
"ACTB","TPM2"
"ACTB","VSNL1"
"ACTC1","ACTN4"
"ACTC1","AFAP1"
"ACTC1","DMD"
"ACTC1","FSCN1"
"ACTC1","MYLK"
"ACTC1","VCL"
"ACTC1","WIPF1"
"ACTG1","ACTB"
"ACTG1","ANXA5"
"ACTG1","ATF7IP"
"ACTG1","CFL1"
"ACTG1","DSTN"
"ACTG1","DYNLL1"
"ACTG1","FHOD1"
"ACTG1","GSN"
"ACTG1","LSP1"
"ACTG1","PDPK1"
"ACTG1","PIP4K2C"
"ACTG1","PLD1"
"ACTG1","PPP1R9A"
"ACTG1","RPS6KA5"
"ACTG1","SH3GL2"
"ACTG1","VASP"
"ACTG1","VCL"
"ACTG1","WASF1"
"ACTL6A","ARHGDIA"
"ACTL6A","TRRAP"
"ACTN1","ATXN2"
"ACTN1","CDK5"
"ACTN1","COIL"
"ACTN1","CSRP1"
"ACTN1","FBP1"
"ACTN1","LPP"
"ACTN1","MAGEA11"
"ACTN1","PDLIM1"
"ACTN1","PDLIM5"
"ACTN1","PKN1"
"ACTN1","SLC2A4"
"ACTN1","ZYX"
"ACTN2","CAMK2A"
"ACTN2","DISC1"
"ACTN2","ITGB3BP"
"ACTN2","NRIP1"
"ACTN2","SNW1"
"ACTN4","ACTN3"
"ACTN4","CAMK2A"
"ACTN4","LRRC7"
"ACTN4","MAGI1"
"ACTN4","MYOZ1"
"ACTN4","SLC2A4"
"ACTR1A","DCTN1"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR2","ACTR3"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC5"
"ACTR2","IQGAP2"
"ACTR2","WASF2"
"ACTR3","CDC42"
"ACTR3","CDH1"
"ACTR3","CTTN"
"ACTR3","WASF3"
"ACVR1","AP2B1"
"ACVR1","CHN1"
"ACVR1","DUSP13"
"ACVR1","FBXO30"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","IKBKB"
"ACVR1","NRAS"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RAB3B"
"ACVR1","RAP2A"
"ACVR1","RASL12"
"ACVR1","RHEBL1"
"ACVR1","RHOJ"
"ACVR1","RPS27A"
"ACVR1","RRAS2"
"ACVR1","SOCS6"
"ACVR1","STX8"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1B","ACVR1"
"ACVR1B","INHBC"
"ACVR1B","SNX1"
"ACVR1B","SNX2"
"ACVR1B","TGFBRAP1"
"ACVR1C","INHBB"
"ACVR1C","TDGF1"
"ACVR2A","BMP6"
"ACVR2A","BMP7"
"ACVR2B","ACVR1B"
"ACVR2B","BMP7"
"ACVR2B","GDF5"
"ACVR2B","INHBB"
"ACVR2B","INHBC"
"ACVR2B","MSTN"
"ACVR2B","SNX1"
"ACVR2B","SNX2"
"ACVR2B","SNX6"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","TGFB1"
"ACVRL1","TGFB3"
"ACVRL1","TGFBR1"
"ACVRL1","TGFBR2"
"ADA","GRB2"
"ADAM10","DLL1"
"ADAM10","SH3D19"
"ADAM10","TGFA"
"ADAM15","SH3GL2"
"ADAM17","MAD2L1"
"ADAM17","NOTCH1"
"ADAM17","PTPN3"
"ADAM17","SH3D19"
"ADAM17","TGFA"
"ADAM17","TNF"
"ADAM17","TNFSF11"
"ADAM19","NRG1"
"ADAM19","TNFSF11"
"ADAM23","RYR1"
"ADAM9","MAD2L2"
"ADAM9","SH3D19"
"ADAM9","SH3GLB1"
"ADAM9","SNX9"
"ADAMTS1","A2M"
"ADAMTS10","ANXA7"
"ADAMTS10","TK1"
"ADAMTS4","FN1"
"ADAMTSL4","FHL3"
"ADAP1","ANP32A"
"ADCY10","PTGIR"
"ADCY5","PRKCA"
"ADCY6","ATXN1"
"ADCY6","RAF1"
"ADCYAP1","MME"
"ADCYAP1R1","ADCYAP1"
"ADCYAP1R1","CALM1"
"ADD1","TK1"
"ADD2","PRKCD"
"ADIPOQ","CDH13"
"ADIPOR1","APPL1"
"ADM","CFH"
"ADM","EDN1"
"ADM","MME"
"ADORA1","ADA"
"ADORA1","GNAZ"
"ADORA2A","ADA"
"ADORA2A","CYTH2"
"ADORA2B","ADA"
"ADORA2B","SLC9A3R2"
"ADRA1A","ABR"
"ADRA1A","ADRA1B"
"ADRA1A","FLNC"
"ADRA1A","RGS2"
"ADRA1B","GNA11"
"ADRA1D","ADRA1A"
"ADRA1D","FLNC"
"ADRA1D","SNTA1"
"ADRA1D","SNTB2"
"ADRA2A","ADRBK1"
"ADRA2A","GNAI2"
"ADRA2A","YWHAZ"
"ADRA2B","GNAI2"
