"cause","effect"
"A1BG","ANXA7"
"A1CF","SYNCRIP"
"A2M","ANXA6"
"A2M","ANXA7"
"A2M","ATF7IP"
"A2M","CDK2AP2"
"A2M","CDKN1A"
"A2M","CTSB"
"A2M","H2AFX"
"A2M","HMOX2"
"A2M","KLK2"
"A2M","KLK3"
"A2M","MYOC"
"A2M","NUDT21"
"A2M","PDGFB"
"A2M","RAP1B"
"A2M","SEPT8"
"A2M","SMN1"
"A2M","TGFBI"
"A2M","TK1"
"AAMP","MAP1LC3B"
"AASDHPPT","MDFI"
"AATF","LDOC1"
"AATF","RB1"
"ABCA1","CSNK2A1"
"ABCA1","FADD"
"ABCA1","LMO7"
"ABCA1","MPP6"
"ABCA1","PDLIM4"
"ABCA1","RAPGEF6"
"ABCA1","RIMS2"
"ABCA1","TIAM1"
"ABCB1","HAX1"
"ABCC2","RDX"
"ABCC9","STX1A"
"ABCF3","HIRIP3"
"ABHD4","TK1"
"ABI1","ABL1"
"ABI1","EPS8"
"ABI1","EPS8L1"
"ABI1","HSPA8"
"ABI1","MINK1"
"ABI1","NCK2"
"ABI1","NIN"
"ABI1","PAK2"
"ABI1","SOS1"
"ABI1","SOS2"
"ABI1","WASF1"
"ABI2","PCM1"
"ABI3","KIAA0408"
"ABI3","KRT15"
"ABL1","ABI2"
"ABL1","APBB1"
"ABL1","ATM"
"ABL1","BCAR1"
"ABL1","BCR"
"ABL1","CASP9"
"ABL1","CAV1"
"ABL1","CDK5"
"ABL1","CDKN1B"
"ABL1","CRK"
"ABL1","CTNND2"
"ABL1","DDB1"
"ABL1","GPX1"
"ABL1","MAP4K5"
"ABL1","MAPT"
"ABL1","MDM2"
"ABL1","NEDD9"
"ABL1","PAK2"
"ABL1","POLR2A"
"ABL1","PRKD1"
"ABL1","PRKDC"
"ABL1","PTPN12"
"ABL1","RAD51"
"ABL1","RAD52"
"ABL1","RAD9A"
"ABL1","RAN"
"ABL1","RB1"
"ABL1","RIN1"
"ABL1","SFN"
"ABL1","SORBS1"
"ABL1","SORBS2"
"ABL1","SOS2"
"ABL1","ST5"
"ABL1","TERT"
"ABL1","WASF1"
"ABL1","XRCC6"
"ABL1","YTHDC1"
"ABL1","YWHAE"
"ABL1","YWHAG"
"ABL1","YWHAZ"
"ABL2","ABL1"
"ABL2","CRK"
"ABL2","SORBS2"
"ABLIM1","HOOK2"
"ABLIM1","KRT15"
"ABLIM1","LDOC1"
"ABLIM1","YWHAG"
"ABR","PIP5K1C"
"ACACA","ATXN1"
"ACACA","CSNK2A1"
"ACAP1","IFFO1"
"ACD","USP7"
"ACHE","LAMB1"
"ACIN1","ABCF3"
"ACIN1","KLHL26"
"ACIN1","YWHAG"
"ACP1","CTNNB1"
"ACP1","FABP4"
"ACP1","FYN"
"ACP1","INSR"
"ACP1","MRPL20"
"ACP1","SPTAN1"
"ACP5","PPP2CB"
"ACP6","GNG7"
"ACTA1","AFAP1"
"ACTA1","CFL1"
"ACTA1","CLIC5"
"ACTA1","CNN1"
"ACTA1","CORO2B"
"ACTA1","DNASE1"
"ACTA1","DTNA"
"ACTA1","FSCN1"
"ACTA1","GAS7"
"ACTA1","GSN"
"ACTA1","LASP1"
"ACTA1","MYLK"
"ACTA1","MYO9B"
"ACTA1","PAK1"
"ACTA1","PFN1"
"ACTA1","PRKCE"
"ACTA1","S100A4"
"ACTA1","SORBS1"
"ACTA1","TNNI1"
"ACTA1","TPM3"
"ACTA1","VASP"
"ACTA1","VCL"
"ACTA1","VIL1"
"ACTA2","CCT4"
"ACTA2","CCT5"
"ACTB","ANXA7"
"ACTB","BCL2L1"
"ACTB","CCT2"
"ACTB","CCT4"
"ACTB","CCT5"
"ACTB","CDK5R2"
"ACTB","CFL1"
"ACTB","CORO1A"
"ACTB","CPNE1"
"ACTB","CPNE2"
"ACTB","CSNK1A1"
"ACTB","EMD"
"ACTB","FHL3"
"ACTB","H2AFX"
"ACTB","HNRNPAB"
"ACTB","HNRNPU"
"ACTB","LASP1"
"ACTB","LMNA"
"ACTB","MYO18B"
"ACTB","NCALD"
"ACTB","NEBL"
"ACTB","PDLIM5"
"ACTB","PFDN1"
"ACTB","POLR2A"
"ACTB","RCC1"
"ACTB","SMN1"
"ACTB","TK1"
"ACTB","TNNI2"
"ACTB","TPM1"
"ACTB","TPM2"
"ACTB","VSNL1"
"ACTC1","ACTB"
"ACTC1","ACTN4"
"ACTC1","AFAP1"
"ACTC1","CFL1"
"ACTC1","DMD"
"ACTC1","DYNLL1"
"ACTC1","FSCN1"
"ACTC1","MYLK"
"ACTC1","VCL"
"ACTC1","WIPF1"
"ACTG1","ACTB"
"ACTG1","ANXA5"
"ACTG1","ATF7IP"
"ACTG1","CFL1"
"ACTG1","DSTN"
"ACTG1","DYNLL1"
"ACTG1","FHOD1"
"ACTG1","GSN"
"ACTG1","LSP1"
"ACTG1","MAPK6"
"ACTG1","PDPK1"
"ACTG1","PFN2"
"ACTG1","PIP4K2C"
"ACTG1","PLD1"
"ACTG1","PPP1R9A"
"ACTG1","RPS6KA5"
"ACTG1","SH3GL2"
"ACTG1","VASP"
"ACTG1","VCL"
"ACTG1","WASF1"
"ACTL6A","ARHGDIA"
"ACTL6A","TRRAP"
"ACTN1","ATXN2"
"ACTN1","CDK5"
"ACTN1","COIL"
"ACTN1","CSRP1"
"ACTN1","FBP1"
"ACTN1","LPP"
"ACTN1","MED14"
"ACTN1","PDLIM1"
"ACTN1","PDLIM5"
"ACTN1","PKN1"
"ACTN1","SLC2A4"
"ACTN1","ZYX"
"ACTN2","ATXN2"
"ACTN2","CAMK2A"
"ACTN2","CAMK2D"
"ACTN2","ITGB3BP"
"ACTN2","NRIP1"
"ACTN2","SNW1"
"ACTN4","ACTN3"
"ACTN4","CAMK2A"
"ACTN4","CAMK2B"
"ACTN4","CAMK2G"
"ACTN4","LRRC7"
"ACTN4","MAGI1"
"ACTN4","MYOZ1"
"ACTN4","SACS"
"ACTN4","TRIM3"
"ACTR1A","DCTN1"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR2","ACTR3"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC5"
"ACTR2","IQGAP2"
"ACTR2","WASF2"
"ACTR3","CDC42"
"ACTR3","CDH1"
"ACTR3","CTTN"
"ACTR3","WASF3"
"ACVR1","AP2B1"
"ACVR1","CHN1"
"ACVR1","DUSP13"
"ACVR1","FBXO30"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","IKBKB"
"ACVR1","NRAS"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RAB3B"
"ACVR1","RAP2A"
"ACVR1","RASD2"
"ACVR1","RASL12"
"ACVR1","RHEBL1"
"ACVR1","RHOJ"
"ACVR1","RPS27A"
"ACVR1","RRAS2"
"ACVR1","SOCS6"
"ACVR1","SQSTM1"
"ACVR1","STX8"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1B","ACVR1"
"ACVR1B","IGSF1"
"ACVR1B","INHBC"
"ACVR1B","SNX1"
"ACVR1B","SNX2"
"ACVR1B","TGFBRAP1"
"ACVR1C","INHBB"
"ACVR1C","TDGF1"
"ACVR2A","BMP6"
"ACVR2A","BMP7"
"ACVR2B","ACVR1B"
"ACVR2B","BMP7"
"ACVR2B","GDF5"
"ACVR2B","INHBA"
"ACVR2B","INHBB"
"ACVR2B","INHBC"
"ACVR2B","MSTN"
"ACVR2B","SNX1"
"ACVR2B","SNX2"
"ACVR2B","SNX6"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","SNX6"
"ACVRL1","TGFB1"
"ACVRL1","TGFB3"
"ACVRL1","TGFBR1"
