"","symbol","weight"
"88727","A1CF",5
"73670","A2M",8
"74325","A2ML1",8
"50337","A4GALT",1
"47210","AAAS",2
"64876","AACS",4
"89432","AADAC",5
"83053","AADACL2",2
"89540","AADACL4",4
"57391","AAGAB",1
"85105","AAK1",8
"72764","AANAT",1
"51771","AAR2",1
"80445","AARS",10
"80592","AARS2",6
"72179","AARSD1",3
"90244","AASDH",6
"71125","AASDHPPT",4
"65655","AASS",5
"74329","AATF",2
"86375","AATK",6
"71925","ABAT",7
"74331","ABCA1",12
"74332","ABCA10",15
"80689","ABCA12",14
"90397","ABCA13",40
"87527","ABCA2",7
"85109","ABCA3",11
"80593","ABCA4",13
"74337","ABCA5",10
"80057","ABCA6",12
"74340","ABCA7",11
"80690","ABCA8",19
"83520","ABCA9",15
"58687","ABCB1",9
"72693","ABCB10",10
"74344","ABCB11",14
"80594","ABCB4",10
"86193","ABCB5",5
"74348","ABCB6",8
"87879","ABCB7",8
"65123","ABCB8",9
"9488","ABCB9",1
"82238","ABCC1",12
"74351","ABCC10",7
"86072","ABCC11",7
"68697","ABCC12",11
"88373","ABCC2",7
"86380","ABCC3",9
"83055","ABCC4",10
"85112","ABCC5",11
"89110","ABCC6",7
"71197","ABCC8",12
"82239","ABCC9",13
"61888","ABCD1",5
"81140","ABCD2",4
"89433","ABCD3",4
"64302","ABCD4",3
"90055","ABCE1",7
"84038","ABCF1",9
"59993","ABCF2",5
"86126","ABCF3",5
"87797","ABCG1",5
"67918","ABCG2",1
"90367","ABCG4",7
"65561","ABCG5",2
"74359","ABCG8",2
"65667","ABHD1",2
"67579","ABHD10",1
"73435","ABHD12",3
"85113","ABHD13",4
"81223","ABHD14A",1
"45412","ABHD15",2
"72456","ABHD16A",4
"36738","ABHD16B",2
"85114","ABHD2",6
"74360","ABHD3",1
"61889","ABHD4",1
"83521","ABHD6",4
"28969","ABHD8",1
"83665","ABI1",4
"74362","ABI2",3
"61890","ABI3",1
"87928","ABI3BP",9
"68698","ABL1",8
"73355","ABL2",6
"82219","ABLIM1",4
"69023","ABLIM2",3
"90318","ABLIM3",6
"10442","ABP1",1
"87929","ABR",16
"67793","ABRA",3
"81224","ABT1",4
"71711","ABTB1",1
"80692","ABTB2",5
"61393","ACAA1",1
