,node,importance,In CGC
9,LCK,0.009552886880692453,Yes
17,EP300,0.008214943146390544,Yes
28,ESR1,0.005356837782011443,Yes
29,FYN,0.005138933240797119,No
32,AR,0.004728868012995935,Yes
33,FOXA1,0.0045088075989461966,Yes
40,LYN,0.003000745192318854,No
41,CREBBP,0.002955115601919522,Yes
42,ZAP70,0.002871252301080929,No
44,LCP2,0.0028123214306282856,No
45,SP1,0.0028001352646655838,No
46,ERG,0.0027734196759996634,Yes
47,E2F1,0.0027485990393084645,No
49,GATA3,0.002527492346807225,Yes
54,PTPRC,0.002425046286096926,Yes
58,FN1,0.0021908401715231268,No
62,CD247,0.0021183203440916995,No
64,COL1A1,0.002109215955016239,Yes
67,VAV1,0.0019343014713020658,Yes
71,JUN,0.0018758973534007777,Yes
72,SYK,0.0018714927903707536,Yes
73,RUNX1,0.0018637253151907638,Yes
76,STAT1,0.0017832031620030287,No
77,ETS1,0.0017756677481590493,No
78,CEBPB,0.0017658928182818715,No
79,EGR1,0.0016790728380710342,No
80,RB1,0.0016371231785018315,Yes
82,CD5,0.0015537386593899025,No
83,PLCG2,0.0014944892236856933,No
86,RUNX3,0.0014440681126675176,No
87,RARA,0.0014415120737112273,Yes
89,TAL1,0.0014316840812333585,Yes
91,FLI1,0.0014106879800829637,Yes
92,LAT,0.0014003266777620482,No
93,MMP2,0.001388283339493517,No
94,FOS,0.0013444490998098875,No
96,SPI1,0.0013051095180519274,No
97,YWHAG,0.0012920777106993292,No
99,EBF1,0.0012765149474080484,Yes
100,ITK,0.0012751009313524378,Yes
104,CCNA2,0.0012529337732732774,No
105,THBS1,0.001252787244848828,No
106,SMAD4,0.0012499270573996112,Yes
107,SMAD2,0.001243574540625197,Yes
108,YY1,0.0012369134430472515,No
111,CD2,0.0012005524904865378,No
112,EGFR,0.0011558075478019744,Yes
113,NR3C1,0.0011440668856978018,No
114,GATA1,0.0011204145849120783,Yes
115,PLK1,0.0011168251170772755,No
116,CBL,0.0011160990733547556,Yes
117,SPARC,0.0011041430562506475,No
118,JUND,0.0011019473942321914,No
119,MBD3,0.0010934251636337668,No
120,EZH2,0.001085136253044715,Yes
122,IRF4,0.0010672611632594421,Yes
123,BTK,0.0010466897748846586,Yes
124,CD4,0.0010385905994957285,No
126,PIK3R1,0.0010233509798880098,Yes
127,TCF4,0.001017813426612169,No
128,RUNX1T1,0.0010115308404465228,Yes
129,FOXO1,0.0010085413593318201,Yes
130,HCK,0.0010080851869428654,No
131,NCOA2,0.0009670998543386671,Yes
132,CEP55,0.0009562458737509546,No
133,FBN1,0.0009556742369426935,No
134,NCOA1,0.0009515253633382074,Yes
135,SMAD3,0.0009476629434884532,Yes
137,ZBTB7A,0.0009379162390506607,No
138,COL1A2,0.0009278028544913538,No
139,CSF2RB,0.0009209086701989233,No
142,MYB,0.0009116631245258006,Yes
143,FOXM1,0.0009014583955121243,No
145,HIF1A,0.0008938739384506397,Yes
146,CDC25A,0.000891090623257845,No
147,JAK3,0.0008892194852641241,Yes
148,PTPN6,0.0008889915965098669,Yes
150,BRCA1,0.000853133238454717,Yes
151,TCF12,0.0008521245238159356,Yes
153,CD79B,0.0008383278786260916,Yes
155,CCNB1,0.000834601366186302,No
160,MCM3,0.000805098102895932,No
164,PAX5,0.0007666983020023781,Yes
165,MAPK1,0.0007614506006197833,Yes
166,YWHAZ,0.0007547570954898132,No
167,BHLHE40,0.0007542508849153549,No
169,TUBB,0.0007435037632470916,No
170,PTK2B,0.0007424783084758756,No
171,MCM7,0.0007375569828360774,No
172,ZBTB16,0.0007336792330704771,Yes
173,QKI,0.0007240771529305352,Yes
174,PRKCA,0.0007238983651275295,No
175,GABPA,0.0007195412141737647,No
176,IGF1,0.0007175834341136747,No
177,CREB1,0.0007149201754673645,Yes
178,BNC2,0.0007078539607800422,No
179,ITGB1,0.0007034638509196529,No
180,E2F6,0.0006950711318799343,No
181,COL5A1,0.0006944567673462324,No
183,E2F2,0.0006917267309275366,No
184,CBFB,0.0006865630006809638,Yes
185,PCNA,0.0006849478284033796,No
187,PAG1,0.0006771990471073064,No
188,TMBIM6,0.000676023440341013,No
189,DCN,0.0006623285895500657,No
190,JAK2,0.000659509928899956,Yes
191,WAS,0.0006565899262284783,Yes
193,MYC,0.000653157370897019,Yes
195,IRF1,0.0006417699096658807,No
196,POU2F2,0.0006334336748116986,No
197,TRAT1,0.0006332533310110281,No
198,POLR2D,0.0006310252556917705,No
199,CD28,0.0006296735988383395,Yes
200,RAN,0.0006270963697336586,No
203,LRP8,0.0006216652827463908,No
205,CD3E,0.0006153324780166649,No
206,ERBB4,0.0006150977740941125,Yes
207,BTG2,0.0006125394413907439,No
208,XPO1,0.0006115346282276936,Yes
210,E2F3,0.0005979120587607152,No
211,ITPR1,0.0005970132826672085,No
212,PRKCQ,0.0005958974973165847,No
213,SYNCRIP,0.0005931149292038989,No
214,PLCG1,0.0005924938227138821,Yes
216,IGF1R,0.0005908028374319344,No
217,FANCA,0.0005888029619270359,Yes
218,KAT2B,0.0005869612320888568,No
219,MAX,0.0005827913547440683,Yes
220,HSP90AA1,0.0005820629468865577,Yes
222,IL2RB,0.0005788694574937759,No
223,CTCF,0.0005775902960375029,Yes
224,GSK3B,0.0005764923832995537,No
228,CHEK1,0.0005685915051761722,No
229,STAT3,0.0005683665942628313,Yes
230,SRPK1,0.0005668714521259704,No
232,AURKB,0.0005635535124020481,No
234,NUFIP2,0.0005606485914841437,No
235,ELF1,0.0005576676464253878,No
236,PTPN11,0.0005569047493481237,Yes
237,RACGAP1,0.0005540942573825535,No
238,NCOR1,0.0005521482915011787,Yes
240,RRM2,0.0005496502795876752,No
241,GAPDH,0.0005494089290853342,No
242,SNIP1,0.0005479072058725894,No
243,SMAD1,0.0005452641639139749,No
244,TBPL1,0.0005420968150180489,No
245,SP3,0.000538891586644477,No
247,NCOA3,0.0005355327811445403,No
248,DBF4,0.0005335090406923299,No
250,HSPG2,0.0005272641774245514,No
251,NCOA6,0.0005245132778724872,No
252,CAV1,0.0005242104569614722,No
253,KIT,0.0005215228072305826,Yes
254,CDK6,0.0005198240464783967,Yes
256,CLTC,0.0005173350516487597,Yes
258,LBR,0.0005154714039364775,No
259,FOXP1,0.0005143043842005203,Yes
261,PDGFRA,0.0005124487055367529,Yes
263,SOD2,0.0005087183522089916,No
266,MMP16,0.0004991585648230554,No
267,FRS2,0.0004974322804955944,No
272,SOS1,0.0004915795842533595,No
273,MAPK6,0.0004893595856848077,No
274,NCK1,0.000487456560279993,No
277,GATA2,0.00048434269299555316,Yes
278,FOSL1,0.0004837990329826403,No
279,CRY2,0.00048139151110250755,No
280,CENPF,0.000481153495206766,No
281,STMN1,0.00047967529554512417,No
284,MYBL2,0.0004766767333754099,No
285,TCF3,0.0004762410529739617,Yes
286,FRMD6,0.0004753022805982786,No
287,DAZAP2,0.00047476660253543274,No
290,AFF4,0.00047239042809333595,Yes
291,VCL,0.0004713897342556404,No
293,HMGA1,0.0004697081290145755,Yes
294,SOCS1,0.00046968782754442875,Yes
298,IL6ST,0.0004617778178003839,Yes
299,RHOB,0.00046159597080769945,No
300,NFYA,0.0004600341756025915,No
301,FGF7,0.0004589730853382477,No
302,BACH2,0.00045788334012832776,No
303,NR2F1,0.00045772754451903056,No
304,TEAD4,0.00045331161205953134,No
305,BIRC5,0.0004529562361672257,No
306,POU4F1,0.00045279653927216083,No
307,MEF2A,0.0004526542490652449,No
310,COL3A1,0.0004503439987673058,Yes
311,AHR,0.00045012085057284944,No
312,SNRPD1,0.00044837974002074726,No
313,RORA,0.0004482014688488314,No
314,NBEA,0.00044796378613146267,Yes
317,VCAN,0.0004455151749604046,No
318,ZFPM2,0.00044345251635406736,No
319,KPNA2,0.0004431829267753416,No
320,CCND1,0.00043941336529379845,Yes
321,SRF,0.00043748332339463617,No
322,TSC22D3,0.0004370628846314353,No
324,KIF23,0.00043581475357099507,No
325,CDCA3,0.00043497661282764253,No
